age,age_group,income,employment_years,credit_history_len,existing_debt_ratio,loan_amount,purpose,default,period
40,30-50,117939.21,2.8,3.1,0.026,5359.85,auto,0,baseline
61,Over 50,27692.3,13.4,10.2,0.14,8361.19,home_improvement,0,baseline
47,30-50,48419.36,10.2,10.0,0.254,11786.72,home_improvement,0,baseline
42,30-50,56218.21,7.1,11.1,0.314,10569.58,home_improvement,0,baseline
43,30-50,35195.63,3.0,2.7,0.062,5565.63,debt_consolidation,0,baseline
32,30-50,49649.67,9.5,9.4,0.081,11971.46,debt_consolidation,0,baseline
25,Under 30,23861.53,4.4,2.9,0.144,5919.93,home_improvement,0,baseline
48,30-50,92453.2,8.4,5.8,0.144,11349.46,education,0,baseline
64,Over 50,36072.04,14.2,11.8,0.343,9351.36,auto,0,baseline
24,Under 30,122287.5,2.1,2.8,0.024,7240.46,small_business,0,baseline
63,Over 50,48309.65,11.3,10.2,0.197,6198.18,home_improvement,0,baseline
61,Over 50,77856.61,15.0,13.5,0.378,8661.04,education,0,baseline
34,30-50,47858.96,0.6,0.0,0.229,8446.64,auto,0,baseline
51,Over 50,48347.28,10.3,9.0,0.046,4801.66,small_business,0,baseline
29,Under 30,37691.38,0.0,3.0,0.634,10949.36,debt_consolidation,1,baseline
58,Over 50,51720.31,9.6,7.0,0.396,14448.44,education,0,baseline
55,Over 50,56562.38,16.8,14.8,0.14,12460.12,home_improvement,0,baseline
38,30-50,34443.78,6.1,7.5,0.112,9485.48,home_improvement,0,baseline
24,Under 30,46338.57,1.7,1.8,0.048,6470.65,home_improvement,0,baseline
68,Over 50,37251.8,10.4,11.0,0.23,8642.71,home_improvement,0,baseline
42,30-50,137977.9,5.6,3.4,0.396,7587.59,education,0,baseline
64,Over 50,47080.83,16.4,16.9,0.239,8622.67,small_business,0,baseline
54,Over 50,98258.25,12.1,12.4,0.24,12941.85,auto,1,baseline
59,Over 50,44889.98,6.8,7.6,0.087,7677.05,debt_consolidation,0,baseline
58,Over 50,55087.57,13.6,15.1,0.489,3233.55,home_improvement,0,baseline
30,30-50,27048.48,4.2,4.7,0.483,12085.64,home_improvement,0,baseline
38,30-50,40087.4,9.8,8.6,0.244,9883.32,auto,0,baseline
43,30-50,53892.18,5.7,9.3,0.056,8733.81,debt_consolidation,0,baseline
45,30-50,100077.66,1.7,7.0,0.033,4504.41,auto,0,baseline
23,Under 30,54170.53,0.0,0.6,0.482,5344.6,home_improvement,0,baseline
47,30-50,91370.15,5.8,6.4,0.332,5666.38,debt_consolidation,0,baseline
28,Under 30,65403.31,4.7,7.8,0.265,6052.03,debt_consolidation,1,baseline
57,Over 50,101959.46,4.4,5.4,0.333,6341.96,debt_consolidation,0,baseline
54,Over 50,47735.52,10.2,11.4,0.068,4487.9,education,0,baseline
66,Over 50,143716.84,20.0,19.6,0.221,23761.61,auto,0,baseline
57,Over 50,39401.99,12.6,11.0,0.078,17172.19,auto,0,baseline
38,30-50,34720.73,8.6,9.7,0.333,9307.56,debt_consolidation,0,baseline
68,Over 50,28437.85,11.5,11.2,0.33,7967.86,education,0,baseline
41,30-50,139938.89,2.2,1.3,0.11,20196.52,debt_consolidation,0,baseline
36,30-50,70880.55,9.6,7.7,0.23,18249.31,home_improvement,1,baseline
65,Over 50,42177.65,15.7,13.3,0.057,5597.31,auto,0,baseline
39,30-50,85996.36,6.6,9.1,0.291,9171.34,debt_consolidation,0,baseline
24,Under 30,66800.21,0.0,3.9,0.228,7396.76,education,0,baseline
44,30-50,118747.82,8.4,10.2,0.169,7082.09,education,0,baseline
59,Over 50,24427.75,9.9,10.8,0.156,7459.65,home_improvement,0,baseline
30,30-50,43503.12,6.7,8.2,0.337,7763.33,home_improvement,0,baseline
43,30-50,39809.68,15.9,15.3,0.536,9003.5,debt_consolidation,0,baseline
27,Under 30,20167.8,3.6,5.7,0.118,9029.03,auto,0,baseline
54,Over 50,78995.58,9.6,10.7,0.136,16632.11,debt_consolidation,0,baseline
44,30-50,43404.64,0.4,0.0,0.347,5412.98,education,0,baseline
37,30-50,68379.89,0.5,0.9,0.384,13140.57,auto,0,baseline
32,30-50,141760.94,8.5,6.8,0.459,4733.85,home_improvement,0,baseline
48,30-50,41816.25,6.4,9.3,0.125,9121.8,debt_consolidation,0,baseline
53,Over 50,40557.71,10.1,13.4,0.329,13652.46,home_improvement,0,baseline
67,Over 50,51709.61,18.1,12.1,0.288,10769.95,debt_consolidation,0,baseline
42,30-50,76439.99,11.8,14.6,0.243,6917.53,small_business,0,baseline
28,Under 30,37986.24,1.9,3.7,0.465,9343.14,auto,0,baseline
61,Over 50,36903.71,12.8,14.3,0.271,18511.45,auto,0,baseline
51,Over 50,78884.12,10.7,11.6,0.086,6027.88,debt_consolidation,0,baseline
55,Over 50,58127.12,10.0,12.9,0.516,10756.62,home_improvement,0,baseline
25,Under 30,19533.23,0.0,2.4,0.075,13128.54,home_improvement,0,baseline
36,30-50,28242.23,6.5,4.5,0.226,6674.09,small_business,1,baseline
58,Over 50,96332.03,13.5,12.6,0.46,19296.62,auto,0,baseline
61,Over 50,58739.5,20.4,19.3,0.21,22847.87,debt_consolidation,0,baseline
42,30-50,34787.45,8.7,8.5,0.103,14002.84,small_business,0,baseline
60,Over 50,45402.19,17.1,17.0,0.198,14017.71,debt_consolidation,0,baseline
62,Over 50,49313.67,11.1,10.8,0.409,3414.03,auto,0,baseline
39,30-50,68260.05,7.9,7.1,0.112,4186.16,education,0,baseline
65,Over 50,26603.06,13.2,10.4,0.354,7768.08,auto,0,baseline
35,30-50,33576.2,6.1,6.1,0.368,5832.05,small_business,0,baseline
32,30-50,55427.44,5.9,7.1,0.194,11080.47,education,0,baseline
54,Over 50,46867.25,11.7,7.4,0.234,1951.47,debt_consolidation,0,baseline
52,Over 50,63407.45,18.1,14.9,0.479,11044.67,auto,0,baseline
27,Under 30,28189.97,6.4,3.1,0.519,7421.45,auto,1,baseline
61,Over 50,57567.18,17.5,14.8,0.304,6180.17,home_improvement,0,baseline
30,30-50,80114.54,5.4,8.7,0.426,21021.43,small_business,0,baseline
60,Over 50,61026.8,18.9,14.8,0.218,6946.32,education,0,baseline
21,Under 30,52187.6,0.0,3.4,0.015,3610.56,home_improvement,0,baseline
60,Over 50,46950.65,17.8,21.9,0.121,10183.06,debt_consolidation,0,baseline
59,Over 50,33668.47,10.3,13.2,0.023,9809.3,debt_consolidation,0,baseline
59,Over 50,47458.01,11.6,11.6,0.23,7428.14,debt_consolidation,0,baseline
53,Over 50,86410.77,12.9,14.0,0.026,26255.9,auto,0,baseline
44,30-50,46464.19,11.7,8.7,0.076,9000.63,auto,0,baseline
55,Over 50,32846.1,8.4,5.6,0.191,13458.9,debt_consolidation,0,baseline
34,30-50,39280.71,3.0,4.5,0.612,9523.65,home_improvement,0,baseline
59,Over 50,53657.83,13.6,13.7,0.376,15295.03,debt_consolidation,0,baseline
48,30-50,41436.55,8.9,11.3,0.229,6867.54,small_business,1,baseline
43,30-50,60985.2,10.3,9.1,0.35,4761.37,education,0,baseline
45,30-50,62024.19,18.7,17.4,0.187,11883.06,debt_consolidation,0,baseline
48,30-50,73133.54,10.7,10.9,0.449,9411.01,debt_consolidation,0,baseline
22,Under 30,93022.97,0.0,1.7,0.042,12059.54,small_business,0,baseline
27,Under 30,76736.78,0.0,1.9,0.272,5952.96,debt_consolidation,0,baseline
33,30-50,32195.84,3.2,2.9,0.339,10302.01,education,0,baseline
26,Under 30,32643.78,0.0,2.6,0.196,3651.39,debt_consolidation,0,baseline
42,30-50,47377.51,8.8,9.4,0.233,6374.79,home_improvement,0,baseline
53,Over 50,40013.46,12.6,11.2,0.301,5696.87,auto,0,baseline
53,Over 50,29370.7,9.8,11.2,0.052,10383.57,home_improvement,0,baseline
44,30-50,40184.58,14.0,15.3,0.585,6360.69,education,0,baseline
62,Over 50,39595.44,12.1,13.1,0.082,4078.92,small_business,0,baseline
48,30-50,36230.93,9.1,7.2,0.451,6098.99,home_improvement,0,baseline
24,Under 30,42527.01,3.0,4.6,0.34,10929.76,home_improvement,0,baseline
58,Over 50,83308.25,15.6,12.7,0.061,8651.96,auto,0,baseline
49,30-50,53618.91,13.6,13.1,0.082,5582.87,education,0,baseline
52,Over 50,149091.29,12.1,9.9,0.099,12327.74,debt_consolidation,0,baseline
48,30-50,52930.17,12.6,14.6,0.139,17724.51,home_improvement,0,baseline
48,30-50,43022.15,7.5,9.5,0.151,12764.38,home_improvement,0,baseline
25,Under 30,49112.05,4.2,7.6,0.532,2556.14,debt_consolidation,0,baseline
48,30-50,55018.31,12.2,13.8,0.148,9123.21,education,1,baseline
59,Over 50,59627.03,17.8,15.7,0.129,7548.34,education,0,baseline
35,30-50,124806.53,0.0,1.1,0.095,2928.16,education,0,baseline
50,30-50,33510.22,7.4,11.4,0.461,4250.5,auto,0,baseline
22,Under 30,72154.92,2.8,3.9,0.07,12082.74,education,0,baseline
38,30-50,53824.7,0.0,0.0,0.47,8891.36,debt_consolidation,0,baseline
42,30-50,24173.35,8.8,11.1,0.546,8436.46,debt_consolidation,0,baseline
69,Over 50,69342.58,20.0,18.3,0.167,5854.43,home_improvement,0,baseline
31,30-50,86719.2,1.8,6.4,0.418,13920.84,home_improvement,0,baseline
34,30-50,33331.91,3.3,5.1,0.222,4381.29,education,1,baseline
41,30-50,48824.12,3.8,5.0,0.092,5198.04,education,0,baseline
69,Over 50,22552.26,15.2,17.2,0.278,6912.74,home_improvement,0,baseline
62,Over 50,27820.74,12.9,9.2,0.371,3778.69,debt_consolidation,0,baseline
22,Under 30,78559.64,0.0,0.8,0.388,5214.35,debt_consolidation,1,baseline
32,30-50,39739.96,1.6,1.5,0.225,13777.41,home_improvement,0,baseline
61,Over 50,29763.52,13.2,8.2,0.035,5312.71,auto,0,baseline
23,Under 30,54353.11,0.0,3.7,0.042,11973.34,small_business,0,baseline
62,Over 50,38751.1,20.0,16.9,0.165,11130.85,debt_consolidation,0,baseline
34,30-50,39661.26,3.4,6.5,0.419,7448.61,education,0,baseline
65,Over 50,68370.5,16.4,15.9,0.141,3985.96,auto,0,baseline
35,30-50,29062.97,3.2,5.7,0.256,8364.13,home_improvement,0,baseline
42,30-50,32616.89,5.6,5.6,0.188,2820.29,debt_consolidation,0,baseline
53,Over 50,52540.31,6.1,5.3,0.118,6220.15,debt_consolidation,0,baseline
27,Under 30,75828.87,0.0,2.2,0.172,9151.09,auto,0,baseline
48,30-50,85577.03,5.8,8.5,0.307,12516.1,education,0,baseline
45,30-50,36341.74,9.0,9.1,0.061,7511.01,auto,0,baseline
59,Over 50,74743.66,16.5,13.8,0.108,5979.04,education,0,baseline
69,Over 50,34445.58,11.4,8.8,0.431,5744.45,home_improvement,0,baseline
53,Over 50,111501.6,9.6,10.1,0.072,6411.51,debt_consolidation,0,baseline
41,30-50,29430.98,2.9,3.2,0.328,11070.8,debt_consolidation,0,baseline
40,30-50,89126.81,5.9,6.5,0.138,9653.21,education,0,baseline
41,30-50,36482.25,10.2,9.7,0.072,8014.37,home_improvement,0,baseline
60,Over 50,121292.58,12.3,11.0,0.245,11103.53,education,0,baseline
36,30-50,63965.19,5.1,6.7,0.383,8105.25,home_improvement,1,baseline
29,Under 30,31032.57,7.2,8.8,0.084,4157.12,debt_consolidation,0,baseline
37,30-50,38754.13,7.0,11.5,0.344,4651.0,auto,0,baseline
22,Under 30,69670.45,0.0,3.5,0.105,10947.2,auto,0,baseline
26,Under 30,78722.95,2.2,7.0,0.3,4076.56,auto,0,baseline
25,Under 30,47485.42,0.0,0.4,0.314,6697.65,debt_consolidation,0,baseline
58,Over 50,50015.9,14.2,10.2,0.215,7653.54,debt_consolidation,0,baseline
56,Over 50,68958.41,13.8,13.0,0.302,4833.47,auto,0,baseline
55,Over 50,52016.14,7.8,10.0,0.044,3519.69,home_improvement,0,baseline
43,30-50,27389.71,8.2,10.0,0.051,4503.52,debt_consolidation,1,baseline
56,Over 50,34001.56,11.9,13.9,0.071,3278.48,home_improvement,0,baseline
28,Under 30,54491.72,4.1,0.2,0.178,11001.82,auto,0,baseline
65,Over 50,84708.15,17.9,18.8,0.484,9884.63,home_improvement,0,baseline
45,30-50,101436.89,9.8,10.5,0.247,5542.42,debt_consolidation,0,baseline
66,Over 50,69618.68,14.8,10.8,0.361,4090.09,small_business,0,baseline
28,Under 30,55786.15,5.2,7.6,0.191,14518.03,debt_consolidation,0,baseline
45,30-50,68663.03,5.8,7.0,0.044,10098.81,debt_consolidation,0,baseline
55,Over 50,36314.13,7.9,9.1,0.175,5940.1,debt_consolidation,0,baseline
45,30-50,45754.53,0.0,4.0,0.259,14670.02,debt_consolidation,0,baseline
42,30-50,33831.28,7.1,8.6,0.365,8680.22,auto,0,baseline
29,Under 30,27947.02,0.3,0.0,0.216,9499.62,debt_consolidation,0,baseline
39,30-50,56959.57,7.5,7.7,0.144,4812.7,debt_consolidation,0,baseline
32,30-50,53288.78,0.0,0.0,0.065,3796.67,debt_consolidation,0,baseline
35,30-50,66799.02,3.0,5.7,0.315,3695.85,debt_consolidation,0,baseline
54,Over 50,62677.03,13.0,15.2,0.139,22960.18,home_improvement,0,baseline
51,Over 50,54676.54,7.4,5.4,0.141,5357.29,debt_consolidation,0,baseline
50,30-50,62974.02,11.4,9.8,0.272,8371.49,debt_consolidation,0,baseline
38,30-50,48088.22,4.3,3.7,0.358,10196.57,education,0,baseline
68,Over 50,59030.0,16.4,14.2,0.176,8019.16,home_improvement,0,baseline
25,Under 30,35356.41,3.2,5.4,0.077,7501.62,debt_consolidation,0,baseline
37,30-50,57893.92,8.5,7.9,0.139,7418.45,home_improvement,0,baseline
26,Under 30,66223.32,2.0,4.9,0.244,10300.76,debt_consolidation,0,baseline
37,30-50,36266.27,3.2,6.7,0.197,4817.92,debt_consolidation,0,baseline
68,Over 50,50177.62,15.1,16.3,0.147,6501.13,debt_consolidation,0,baseline
38,30-50,37026.12,7.9,6.1,0.083,2560.94,debt_consolidation,0,baseline
65,Over 50,38679.77,12.3,14.6,0.264,3192.24,debt_consolidation,0,baseline
45,30-50,29548.31,7.9,11.2,0.198,4234.31,debt_consolidation,0,baseline
55,Over 50,86647.09,10.7,13.7,0.407,12417.64,home_improvement,0,baseline
43,30-50,79186.28,7.4,7.6,0.049,7070.23,debt_consolidation,0,baseline
34,30-50,62432.75,1.5,1.7,0.182,11483.93,debt_consolidation,0,baseline
58,Over 50,119072.54,7.4,5.9,0.267,9822.62,education,0,baseline
68,Over 50,45018.98,18.0,14.2,0.218,9228.47,auto,1,baseline
33,30-50,191816.24,7.1,7.7,0.278,5054.11,auto,0,baseline
59,Over 50,44250.05,7.9,10.0,0.146,8412.46,home_improvement,0,baseline
33,30-50,54986.17,5.3,8.9,0.146,9202.59,auto,0,baseline
56,Over 50,40986.58,15.5,13.4,0.42,24351.28,auto,0,baseline
59,Over 50,57962.21,15.1,14.0,0.272,6815.77,home_improvement,0,baseline
43,30-50,71398.11,6.4,7.0,0.358,11685.57,education,0,baseline
57,Over 50,46571.2,9.8,8.5,0.424,7616.41,education,0,baseline
34,30-50,109045.87,4.8,7.3,0.201,5703.72,debt_consolidation,0,baseline
24,Under 30,54590.61,1.8,4.2,0.287,12516.05,debt_consolidation,0,baseline
25,Under 30,55365.86,1.7,3.6,0.155,20864.24,debt_consolidation,0,baseline
42,30-50,32563.62,6.8,8.2,0.422,9237.28,home_improvement,0,baseline
65,Over 50,59179.15,12.2,13.0,0.015,5758.79,education,0,baseline
27,Under 30,46151.64,3.4,5.9,0.096,10236.81,auto,0,baseline
43,30-50,37282.98,9.1,7.6,0.305,9318.09,home_improvement,0,baseline
55,Over 50,34564.64,12.5,13.8,0.377,24544.72,home_improvement,0,baseline
30,30-50,163128.5,3.5,5.3,0.287,11743.85,auto,0,baseline
56,Over 50,43540.0,17.3,15.0,0.249,5080.71,home_improvement,0,baseline
35,30-50,25447.09,3.0,4.9,0.241,15326.62,auto,1,baseline
60,Over 50,35803.48,17.5,16.7,0.329,11940.37,auto,0,baseline
49,30-50,47896.34,7.6,10.2,0.226,12935.08,auto,0,baseline
47,30-50,62692.69,12.4,9.8,0.342,10121.79,auto,0,baseline
29,Under 30,62922.46,6.5,9.9,0.342,13415.29,auto,0,baseline
43,30-50,66468.04,6.8,7.5,0.334,10100.21,auto,0,baseline
62,Over 50,36673.62,19.3,16.5,0.362,7135.31,small_business,0,baseline
21,Under 30,57136.49,1.4,2.1,0.191,8665.54,auto,0,baseline
58,Over 50,33049.88,10.3,8.3,0.237,7646.66,home_improvement,0,baseline
45,30-50,37092.15,7.3,4.3,0.212,9611.28,education,0,baseline
56,Over 50,32436.22,15.6,15.9,0.275,8431.43,small_business,0,baseline
53,Over 50,28716.44,14.0,17.1,0.048,6923.72,home_improvement,0,baseline
42,30-50,79133.71,4.2,2.1,0.25,7399.71,education,0,baseline
36,30-50,66827.86,4.8,4.0,0.373,8088.51,small_business,0,baseline
51,Over 50,76076.86,11.1,12.4,0.328,3325.78,debt_consolidation,0,baseline
27,Under 30,49895.74,0.6,2.4,0.347,13523.92,home_improvement,0,baseline
49,30-50,69533.47,16.9,17.2,0.284,9642.78,home_improvement,0,baseline
25,Under 30,22190.5,2.1,3.5,0.328,5968.53,auto,0,baseline
52,Over 50,72286.26,10.7,9.4,0.106,10889.97,small_business,0,baseline
51,Over 50,53087.88,14.1,12.8,0.474,6285.15,debt_consolidation,0,baseline
25,Under 30,65003.69,0.3,0.0,0.032,6285.05,education,0,baseline
58,Over 50,58163.34,16.0,12.5,0.419,9772.41,education,0,baseline
41,30-50,31439.65,2.0,5.5,0.024,16569.38,auto,0,baseline
59,Over 50,24981.28,11.9,13.9,0.5,9320.18,auto,0,baseline
23,Under 30,35581.3,3.8,7.9,0.311,5497.57,auto,0,baseline
29,Under 30,63209.68,7.5,8.9,0.241,6796.03,debt_consolidation,0,baseline
45,30-50,66872.37,6.1,2.4,0.266,12388.5,debt_consolidation,0,baseline
30,30-50,26487.44,0.5,1.1,0.241,9918.33,debt_consolidation,0,baseline
37,30-50,31524.03,7.3,10.5,0.015,13091.73,debt_consolidation,0,baseline
53,Over 50,35402.72,9.3,12.7,0.217,9864.8,auto,0,baseline
28,Under 30,41739.9,1.6,6.0,0.312,11913.36,education,0,baseline
54,Over 50,26557.76,14.2,12.9,0.539,22170.06,debt_consolidation,0,baseline
26,Under 30,25850.28,0.1,0.0,0.239,4120.95,auto,0,baseline
29,Under 30,33866.25,0.0,1.9,0.183,26999.45,debt_consolidation,0,baseline
49,30-50,50960.91,5.9,6.7,0.028,12942.16,home_improvement,1,baseline
59,Over 50,28817.34,13.3,15.8,0.153,30106.19,debt_consolidation,1,baseline
29,Under 30,46531.67,0.0,2.5,0.225,4956.1,debt_consolidation,1,baseline
35,30-50,78932.53,4.0,5.2,0.329,9810.67,education,0,baseline
66,Over 50,27287.91,11.6,11.4,0.118,8775.23,home_improvement,0,baseline
69,Over 50,44671.88,21.7,20.2,0.426,12604.01,debt_consolidation,0,baseline
49,30-50,77741.19,16.3,16.3,0.271,10248.4,debt_consolidation,0,baseline
42,30-50,40610.39,4.2,3.9,0.201,9690.17,education,0,baseline
37,30-50,37867.51,6.4,5.0,0.44,11961.65,home_improvement,0,baseline
51,Over 50,82749.49,7.6,10.8,0.214,7681.69,small_business,1,baseline
49,30-50,42710.88,8.9,5.8,0.429,6260.94,auto,0,baseline
35,30-50,80581.37,10.3,13.5,0.294,10164.18,home_improvement,0,baseline
22,Under 30,59458.53,0.0,0.0,0.249,6254.74,home_improvement,0,baseline
28,Under 30,42012.39,1.6,2.1,0.209,7610.12,education,0,baseline
67,Over 50,60831.36,13.3,14.6,0.067,3942.01,education,0,baseline
41,30-50,56624.8,10.4,10.4,0.06,8332.87,debt_consolidation,0,baseline
44,30-50,77605.79,0.0,0.0,0.224,5093.28,home_improvement,0,baseline
43,30-50,38301.51,6.4,8.0,0.26,7970.57,debt_consolidation,0,baseline
59,Over 50,49938.26,13.2,12.7,0.131,4707.85,education,0,baseline
24,Under 30,47682.41,0.0,1.6,0.321,8025.14,auto,0,baseline
25,Under 30,67296.71,4.0,3.9,0.061,12706.3,debt_consolidation,0,baseline
34,30-50,30904.88,8.2,8.5,0.188,6015.41,home_improvement,0,baseline
44,30-50,77469.51,3.8,3.9,0.313,5081.47,home_improvement,0,baseline
53,Over 50,60466.69,17.5,20.9,0.28,11977.92,small_business,0,baseline
45,30-50,27102.57,4.1,4.8,0.157,12792.81,home_improvement,0,baseline
42,30-50,84433.39,11.2,10.2,0.262,10016.21,debt_consolidation,0,baseline
66,Over 50,133966.08,16.2,13.9,0.1,6420.64,auto,0,baseline
28,Under 30,76943.39,0.9,6.3,0.368,5914.47,debt_consolidation,0,baseline
49,30-50,93166.47,8.6,5.6,0.323,6865.45,auto,0,baseline
47,30-50,50940.68,9.0,9.9,0.208,7866.89,home_improvement,0,baseline
44,30-50,23209.64,8.7,8.5,0.101,3419.63,education,0,baseline
60,Over 50,21378.6,10.9,7.9,0.194,4956.35,auto,0,baseline
34,30-50,54983.42,3.8,3.4,0.464,15145.14,debt_consolidation,0,baseline
67,Over 50,37556.79,13.8,13.7,0.097,8988.61,education,0,baseline
37,30-50,32481.98,2.0,1.8,0.214,14965.31,small_business,0,baseline
47,30-50,47656.01,6.6,7.8,0.011,13464.85,home_improvement,0,baseline
46,30-50,64667.46,5.3,9.7,0.404,6931.1,auto,0,baseline
62,Over 50,25495.55,13.1,12.8,0.364,6983.63,auto,0,baseline
42,30-50,40054.85,8.6,6.0,0.185,13138.23,home_improvement,0,baseline
34,30-50,96707.07,4.9,4.2,0.34,11841.02,debt_consolidation,0,baseline
22,Under 30,30215.8,6.3,6.4,0.366,13275.93,home_improvement,0,baseline
38,30-50,72503.68,0.0,1.3,0.162,8048.46,debt_consolidation,0,baseline
61,Over 50,39413.79,15.4,14.6,0.278,8701.84,education,0,baseline
21,Under 30,62668.06,0.0,2.6,0.195,7131.09,education,0,baseline
64,Over 50,80321.88,17.5,19.5,0.371,7889.32,debt_consolidation,0,baseline
47,30-50,68430.7,11.2,11.0,0.104,5751.28,auto,0,baseline
27,Under 30,73800.58,1.6,1.0,0.4,7805.68,debt_consolidation,0,baseline
35,30-50,29195.88,5.4,8.6,0.145,7480.05,debt_consolidation,0,baseline
48,30-50,80914.38,7.2,10.3,0.101,6442.23,debt_consolidation,0,baseline
36,30-50,33399.23,7.1,8.1,0.466,12035.0,home_improvement,0,baseline
26,Under 30,55093.87,0.0,1.5,0.373,4003.33,education,0,baseline
53,Over 50,55061.76,13.5,14.1,0.314,9592.33,debt_consolidation,1,baseline
53,Over 50,60980.24,11.1,10.5,0.271,5111.02,small_business,0,baseline
26,Under 30,57046.98,0.3,0.0,0.525,5303.25,home_improvement,0,baseline
34,30-50,33533.01,3.9,6.2,0.275,5535.46,debt_consolidation,0,baseline
32,30-50,26703.76,3.4,6.5,0.025,10253.96,home_improvement,0,baseline
53,Over 50,72588.15,15.1,17.0,0.425,2620.66,auto,0,baseline
56,Over 50,53296.48,22.0,18.1,0.235,8816.24,home_improvement,0,baseline
56,Over 50,82225.4,15.9,15.2,0.141,8289.35,home_improvement,0,baseline
66,Over 50,48043.89,14.1,13.7,0.615,4988.64,debt_consolidation,0,baseline
58,Over 50,26047.47,14.8,14.0,0.143,8875.99,auto,0,baseline
36,30-50,75717.03,7.3,8.0,0.052,4417.7,home_improvement,0,baseline
26,Under 30,41495.21,0.0,2.1,0.229,7927.69,small_business,0,baseline
51,Over 50,57176.69,6.7,7.8,0.02,4335.12,home_improvement,0,baseline
65,Over 50,36630.75,15.2,15.6,0.335,22587.86,debt_consolidation,0,baseline
68,Over 50,102737.84,18.9,19.5,0.24,12465.29,education,0,baseline
32,30-50,33042.37,0.0,0.5,0.261,9165.79,debt_consolidation,0,baseline
32,30-50,42114.89,1.7,3.0,0.331,5026.15,debt_consolidation,0,baseline
22,Under 30,51449.29,2.1,2.8,0.09,7060.25,auto,0,baseline
27,Under 30,29986.96,2.2,2.6,0.033,7207.69,debt_consolidation,1,baseline
48,30-50,56881.98,13.7,9.7,0.368,9144.89,home_improvement,1,baseline
47,30-50,101251.19,4.9,5.9,0.298,9889.96,home_improvement,0,baseline
39,30-50,39312.27,13.4,13.6,0.041,9067.37,education,0,baseline
36,30-50,58560.42,0.6,2.2,0.585,9615.71,auto,0,baseline
61,Over 50,14224.97,7.9,8.3,0.171,7443.34,auto,0,baseline
43,30-50,48169.53,7.5,8.9,0.228,9616.46,small_business,0,baseline
60,Over 50,42579.62,10.2,13.0,0.111,5890.13,auto,0,baseline
68,Over 50,33917.15,16.3,14.2,0.447,4761.18,debt_consolidation,0,baseline
36,30-50,79750.06,5.0,3.7,0.415,20413.27,education,1,baseline
30,30-50,42327.42,2.6,3.9,0.082,9976.66,education,0,baseline
67,Over 50,45258.02,13.6,16.6,0.21,19991.12,home_improvement,0,baseline
52,Over 50,41368.01,12.1,9.4,0.259,7063.03,auto,0,baseline
35,30-50,20690.56,3.9,6.5,0.161,27047.73,home_improvement,1,baseline
51,Over 50,29454.62,13.8,15.4,0.355,8432.11,debt_consolidation,0,baseline
46,30-50,75545.63,8.2,3.8,0.312,14371.18,auto,0,baseline
65,Over 50,18968.26,12.5,12.8,0.074,8237.29,home_improvement,0,baseline
33,30-50,34723.02,0.0,3.2,0.438,8799.6,debt_consolidation,0,baseline
69,Over 50,40950.77,16.3,14.5,0.308,7649.53,home_improvement,0,baseline
66,Over 50,107433.77,11.9,10.3,0.129,6333.44,auto,0,baseline
29,Under 30,69277.24,0.0,0.8,0.3,13228.4,education,0,baseline
